work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,se,ft,principal data scientist,80000,eur,85847,es,100,es,l
2023,mi,ct,ml engineer,30000,usd,30000,us,100,us,s
2023,mi,ct,ml engineer,25500,usd,25500,us,100,us,s
2023,se,ft,data scientist,175000,usd,175000,ca,100,ca,m
2023,se,ft,data scientist,120000,usd,120000,ca,100,ca,m
2023,se,ft,applied scientist,222200,usd,222200,us,0,us,l
2023,se,ft,applied scientist,136000,usd,136000,us,0,us,l
2023,se,ft,data scientist,219000,usd,219000,ca,0,ca,m
2023,se,ft,data scientist,141000,usd,141000,ca,0,ca,m
2023,se,ft,data scientist,147100,usd,147100,us,0,us,m
2023,se,ft,data scientist,90700,usd,90700,us,0,us,m
2023,se,ft,data analyst,130000,usd,130000,us,100,us,m
2023,se,ft,data analyst,100000,usd,100000,us,100,us,m
2023,en,ft,applied scientist,213660,usd,213660,us,0,us,l
2023,en,ft,applied scientist,130760,usd,130760,us,0,us,l
2023,se,ft,data modeler,147100,usd,147100,us,0,us,m
2023,se,ft,data modeler,90700,usd,90700,us,0,us,m
2023,se,ft,data scientist,170000,usd,170000,us,0,us,m
2023,se,ft,data scientist,150000,usd,150000,us,0,us,m
2023,mi,ft,data analyst,150000,usd,150000,us,100,us,m
2023,mi,ft,data analyst,110000,usd,110000,us,100,us,m
2023,se,ft,research engineer,275000,usd,275000,de,0,de,m
2023,se,ft,research engineer,174000,usd,174000,de,0,de,m
2023,se,ft,analytics engineer,230000,usd,230000,gb,100,gb,m
2023,se,ft,analytics engineer,143200,usd,143200,gb,100,gb,m
2023,se,ft,business intelligence engineer,225000,usd,225000,us,0,us,m
2023,se,ft,business intelligence engineer,156400,usd,156400,us,0,us,m
2023,se,ft,machine learning engineer,200000,usd,200000,us,0,us,m
2023,se,ft,machine learning engineer,130000,usd,130000,us,0,us,m
2023,se,ft,data strategist,90000,usd,90000,ca,0,ca,m
2023,se,ft,data strategist,72000,usd,72000,ca,0,ca,m
2023,se,ft,data engineer,253200,usd,253200,us,0,us,m
2023,se,ft,data engineer,90700,usd,90700,us,0,us,m
2023,se,ft,computer vision engineer,184590,usd,184590,us,0,us,m
2023,mi,ft,data engineer,162500,usd,162500,us,0,us,m
2023,mi,ft,data engineer,130000,usd,130000,us,0,us,m
2023,mi,ft,data analyst,105380,usd,105380,us,0,us,m
2023,mi,ft,data analyst,64500,usd,64500,us,0,us,m
2023,en,ft,data quality analyst,100000,usd,100000,ng,100,ng,l
2023,en,ft,compliance data analyst,30000,usd,30000,ng,100,ng,l
2023,en,ft,applied scientist,204620,usd,204620,us,0,us,l
2023,en,ft,applied scientist,110680,usd,110680,us,0,us,l
2023,se,ft,data engineer,270703,usd,270703,us,0,us,m
2023,se,ft,data engineer,221484,usd,221484,us,0,us,m
2023,se,ft,data scientist,212750,usd,212750,us,100,us,m
2023,se,ft,data scientist,185000,usd,185000,us,100,us,m
2023,se,ft,data scientist,262000,usd,262000,us,100,us,m
2023,se,ft,data scientist,245000,usd,245000,us,100,us,m
2023,se,ft,data scientist,275300,usd,275300,us,100,us,m
2023,se,ft,data scientist,183500,usd,183500,us,100,us,m
2023,se,ft,data scientist,218500,usd,218500,us,100,us,m
2023,se,ft,data scientist,199098,usd,199098,us,100,us,m
2023,se,ft,data engineer,203300,usd,203300,us,100,us,m
2023,se,ft,data engineer,123600,usd,123600,us,100,us,m
2023,se,ft,research engineer,189110,usd,189110,us,0,us,m
2023,se,ft,research engineer,139000,usd,139000,us,0,us,m
2023,ex,ft,data scientist,258750,usd,258750,us,0,us,m
2023,ex,ft,data scientist,185000,usd,185000,us,0,us,m
2023,se,ft,data engineer,231500,usd,231500,us,100,us,m
2023,se,ft,data engineer,166000,usd,166000,us,100,us,m
2023,se,ft,data scientist,172500,usd,172500,us,100,us,m
2023,se,ft,data scientist,110500,usd,110500,us,100,us,m
2023,se,ft,data engineer,238000,usd,238000,us,0,us,m
2023,se,ft,data engineer,176000,usd,176000,us,0,us,m
2023,se,ft,data engineer,237000,usd,237000,us,100,us,m
2023,se,ft,data engineer,201450,usd,201450,us,100,us,m
2023,se,ft,applied scientist,159100,usd,159100,us,0,us,l
2023,se,ft,data engineer,115000,usd,115000,us,0,us,m
2023,se,ft,data engineer,81500,usd,81500,us,0,us,m
2023,se,ft,data scientist,237000,usd,237000,us,100,us,m
2023,se,ft,data scientist,201450,usd,201450,us,100,us,m
2023,se,ft,computer vision engineer,280000,usd,280000,us,0,us,m
2023,se,ft,computer vision engineer,210000,usd,210000,us,0,us,m
2023,se,ft,data architect,280100,usd,280100,us,100,us,m
2023,se,ft,data architect,168100,usd,168100,us,100,us,m
2023,se,ft,data engineer,193500,usd,193500,us,100,us,m
2023,se,ft,data engineer,139000,usd,139000,us,100,us,m
2023,se,ft,machine learning engineer,150000,usd,150000,pt,100,us,m
2023,mi,ft,applied machine learning engineer,65000,eur,69751,in,100,de,s
2023,mi,ft,machine learning engineer,90000,eur,96578,nl,100,nl,l
2023,se,ft,business intelligence engineer,185900,usd,185900,us,0,us,m
2023,se,ft,business intelligence engineer,129300,usd,129300,us,0,us,m
2023,se,ft,data engineer,225000,usd,225000,us,100,us,m
2023,se,ft,data engineer,175000,usd,175000,us,100,us,m
2023,se,ft,data engineer,185000,usd,185000,us,0,us,m
2023,se,ft,data engineer,140000,usd,140000,us,0,us,m
2023,se,ft,data scientist,45000,eur,48289,es,0,es,m
2023,se,ft,data scientist,36000,eur,38631,es,0,es,m
2023,se,ft,data scientist,105000,usd,105000,us,0,us,m
2023,se,ft,data scientist,70000,usd,70000,us,0,us,m
2023,en,ft,machine learning engineer,163196,usd,163196,us,0,us,m
2023,en,ft,machine learning engineer,145885,usd,145885,us,0,us,m
